Class	n	prop
FAIL	2973	0.2973
PASS	300	0.03
Assigned to terminal branch	5747	0.5747
Failed PVV assessment	980	0.098
FAIL	702	0.0702
PASS	1208	0.1208
Assigned to terminal branch	6601	0.6601
Failed PVV assessment	1489	0.1489
FAIL	1002	0.1002
PASS	235	0.0235
Assigned to terminal branch	8469	0.8469
Failed PVV assessment	294	0.0294
FAIL	337	0.0337
PASS	78	0.0078
Assigned to terminal branch	9464	0.9464
Failed PVV assessment	121	0.0121
FAIL	1008	0.1008
PASS	188	0.0188
Assigned to terminal branch	8134	0.8134
Failed PVV assessment	670	0.067
FAIL	488	0.0488
PASS	60	0.006
Assigned to terminal branch	9299	0.9299
Failed PVV assessment	153	0.0153
FAIL	670	0.067
PASS	300	0.03
Assigned to terminal branch	8504	0.8504
Failed PVV assessment	526	0.0526
FAIL	1131	0.1131
PASS	350	0.035
Assigned to terminal branch	7887	0.7887
Failed PVV assessment	632	0.0632
FAIL	1145	0.1145
PASS	322	0.0322
Assigned to terminal branch	7963	0.7963
Failed PVV assessment	570	0.057
FAIL	406	0.0406
PASS	140	0.014
Assigned to terminal branch	9317	0.9317
Failed PVV assessment	137	0.0137
FAIL	1223	0.1223
PASS	380	0.038
Assigned to terminal branch	7700	0.77
Failed PVV assessment	697	0.0697
FAIL	1729	0.1729
PASS	408	0.0408
Assigned to terminal branch	7164	0.7164
Failed PVV assessment	699	0.0699
FAIL	1384	0.1384
PASS	233	0.0233
Assigned to terminal branch	7490	0.749
Failed PVV assessment	893	0.0893
FAIL	366	0.0366
PASS	24	0.0024
Assigned to terminal branch	9419	0.9419
Failed PVV assessment	191	0.0191
FAIL	1527	0.1527
PASS	111	0.0111
Assigned to terminal branch	8151	0.8151
Failed PVV assessment	211	0.0211
FAIL	475	0.0475
PASS	21	0.0021
Assigned to terminal branch	9376	0.9376
Failed PVV assessment	128	0.0128
FAIL	249	0.0249
PASS	21	0.0021
Assigned to terminal branch	9642	0.9642
Failed PVV assessment	88	0.0088
FAIL	1185	0.1185
PASS	60	0.006
Assigned to terminal branch	8424	0.8424
Failed PVV assessment	331	0.0331
FAIL	1490	0.149
PASS	40	0.004
Assigned to terminal branch	7802	0.7802
Failed PVV assessment	668	0.0668
FAIL	1230	0.123
PASS	81	0.0081
Assigned to terminal branch	8390	0.839
Failed PVV assessment	299	0.0299
FAIL	1212	0.1212
PASS	43	0.0043
Assigned to terminal branch	8397	0.8397
Failed PVV assessment	348	0.0348
FAIL	1092	0.1092
PASS	34	0.0034
Assigned to terminal branch	8664	0.8664
Failed PVV assessment	210	0.021
FAIL	332	0.0332
PASS	32	0.0032
Assigned to terminal branch	9576	0.9576
Failed PVV assessment	60	0.006
FAIL	1152	0.1152
PASS	85	0.0085
Assigned to terminal branch	8442	0.8442
Failed PVV assessment	321	0.0321
FAIL	701	0.0701
PASS	50	0.005
Assigned to terminal branch	9052	0.9052
Failed PVV assessment	197	0.0197
FAIL	371	0.0371
PASS	24	0.0024
Assigned to terminal branch	9434	0.9434
Failed PVV assessment	171	0.0171
FAIL	1356	0.1356
PASS	1008	0.1008
Assigned to terminal branch	7362	0.7362
Failed PVV assessment	274	0.0274
FAIL	2573	0.2573
PASS	1095	0.1095
Assigned to terminal branch	5755	0.5755
Failed PVV assessment	577	0.0577
FAIL	3083	0.3083
PASS	563	0.0563
Assigned to terminal branch	5365	0.5365
Failed PVV assessment	989	0.0989
FAIL	1752	0.1752
PASS	326	0.0326
Assigned to terminal branch	7399	0.7399
Failed PVV assessment	523	0.0523
FAIL	1186	0.1186
PASS	179	0.0179
Assigned to terminal branch	8268	0.8268
Failed PVV assessment	367	0.0367
FAIL	1864	0.1864
PASS	308	0.0308
Assigned to terminal branch	7320	0.732
Failed PVV assessment	508	0.0508
FAIL	1779	0.1779
PASS	367	0.0367
Assigned to terminal branch	7281	0.7281
Failed PVV assessment	573	0.0573
FAIL	4271	0.4271
PASS	354	0.0354
Assigned to terminal branch	4635	0.4635
Failed PVV assessment	740	0.074
FAIL	3470	0.347
PASS	449	0.0449
Assigned to terminal branch	5371	0.5371
Failed PVV assessment	710	0.071
FAIL	3486	0.3486
PASS	418	0.0418
Assigned to terminal branch	5475	0.5475
Failed PVV assessment	621	0.0621
FAIL	1697	0.1697
PASS	108	0.0108
Assigned to terminal branch	7409	0.7409
Failed PVV assessment	786	0.0786
FAIL	1224	0.1224
PASS	133	0.0133
Assigned to terminal branch	8082	0.8082
Failed PVV assessment	561	0.0561
FAIL	875	0.0875
PASS	147	0.0147
Assigned to terminal branch	8689	0.8689
Failed PVV assessment	289	0.0289
FAIL	204	0.0204
PASS	25	0.0025
Assigned to terminal branch	9716	0.9716
Failed PVV assessment	55	0.0055
FAIL	877	0.0877
PASS	37	0.0037
Assigned to terminal branch	8677	0.8677
Failed PVV assessment	409	0.0409
FAIL	1472	0.1472
PASS	197	0.0197
Assigned to terminal branch	7674	0.7674
Failed PVV assessment	657	0.0657
FAIL	1187	0.1187
PASS	111	0.0111
Assigned to terminal branch	8181	0.8181
Failed PVV assessment	521	0.0521
FAIL	643	0.0643
PASS	57	0.0057
Assigned to terminal branch	8903	0.8903
Failed PVV assessment	397	0.0397
FAIL	504	0.0504
PASS	25	0.0025
Assigned to terminal branch	9289	0.9289
Failed PVV assessment	182	0.0182
FAIL	98	0.0098
PASS	20	0.002
Assigned to terminal branch	9816	0.9816
Failed PVV assessment	66	0.0066
FAIL	2631	0.2631
PASS	193	0.0193
Assigned to terminal branch	6992	0.6992
Failed PVV assessment	184	0.0184
